,confidence,subject,block,block_difficulty,block_value_level,block_stimulus_type,block_ntrials_phase1,block_ntrials_phase2,trial_difficulty,trial_value_chosen,trial_number
638,4,1,3,3,23,0,15,10,3,23,0.0
639,7,1,3,3,23,0,15,10,3,26,1.0
640,7,1,3,3,23,0,15,10,6,26,2.0
641,4,1,3,3,23,0,15,10,9,29,3.0
642,4,1,3,3,23,0,15,10,3,26,4.0
643,3,1,3,3,23,0,15,10,6,26,5.0
644,4,1,3,3,23,0,15,10,9,29,6.0
645,6,1,3,3,23,0,15,10,6,26,7.0
646,5,1,3,3,23,0,15,10,3,26,8.0
647,3,1,3,3,23,0,15,10,9,20,9.0
682,6,1,4,6,28,0,12,5,6,34,0.0
683,3,1,4,6,28,0,12,5,12,28,1.0
684,4,1,4,6,28,0,12,5,12,28,2.0
685,10,1,4,6,28,0,12,5,12,34,3.0
686,6,1,4,6,28,0,12,5,6,28,4.0
730,5,1,5,3,18,1,18,5,9,24,0.0
731,5,1,5,3,18,1,18,5,3,24,1.0
732,10,1,5,3,18,1,18,5,3,24,2.0
733,10,1,5,3,18,1,18,5,6,24,3.0
734,5,1,5,3,18,1,18,5,3,15,4.0
761,7,1,6,6,18,0,12,10,12,24,0.0
762,7,1,6,6,18,0,12,10,6,24,1.0
763,7,1,6,6,18,0,12,10,6,24,2.0
764,5,1,6,6,18,0,12,10,6,12,3.0
765,6,1,6,6,18,0,12,10,6,24,4.0
767,7,1,6,6,18,0,12,10,12,24,6.0
768,7,1,6,6,18,0,12,10,18,30,7.0
769,6,1,6,6,18,0,12,10,18,30,8.0
770,4,1,6,6,18,0,12,10,12,30,9.0
805,4,1,7,3,23,1,9,10,9,20,0.0
807,6,1,7,3,23,1,9,10,6,23,2.0
808,4,1,7,3,23,1,9,10,6,26,3.0
809,7,1,7,3,23,1,9,10,3,26,4.0
811,2,1,7,3,23,1,9,10,3,20,6.0
812,4,1,7,3,23,1,9,10,3,26,7.0
813,1,1,7,3,23,1,9,10,3,23,8.0
814,7,1,7,3,23,1,9,10,3,26,9.0
860,4,1,8,3,28,1,12,15,3,28,0.0
861,7,1,8,3,28,1,12,15,6,34,1.0
862,5,1,8,3,28,1,12,15,9,34,2.0
863,4,1,8,3,28,1,12,15,9,34,3.0
864,8,1,8,3,28,1,12,15,9,34,4.0
865,7,1,8,3,28,1,12,15,6,34,5.0
866,5,1,8,3,28,1,12,15,6,34,6.0
867,3,1,8,3,28,1,12,15,6,31,7.0
868,6,1,8,3,28,1,12,15,9,34,8.0
869,4,1,8,3,28,1,12,15,3,28,9.0
870,7,1,8,3,28,1,12,15,9,34,10.0
871,5,1,8,3,28,1,12,15,6,34,11.0
873,7,1,8,3,28,1,12,15,3,34,13.0
874,5,1,8,3,28,1,12,15,3,28,14.0
952,4,1,10,3,28,1,15,15,3,25,0.0
953,6,1,10,3,28,1,15,15,3,31,1.0
954,3,1,10,3,28,1,15,15,6,28,2.0
955,7,1,10,3,28,1,15,15,9,25,3.0
956,7,1,10,3,28,1,15,15,9,25,4.0
957,6,1,10,3,28,1,15,15,6,31,5.0
958,10,1,10,3,28,1,15,15,9,25,6.0
959,3,1,10,3,28,1,15,15,6,28,7.0
960,6,1,10,3,28,1,15,15,9,25,8.0
961,7,1,10,3,28,1,15,15,6,31,9.0
962,5,1,10,3,28,1,15,15,3,25,10.0
963,6,1,10,3,28,1,15,15,6,31,11.0
964,8,1,10,3,28,1,15,15,3,25,12.0
965,4,1,10,3,28,1,15,15,6,28,13.0
966,4,1,10,3,28,1,15,15,6,25,14.0
993,4,2,0,6,28,0,9,10,6,28,0.0
994,4,2,0,6,28,0,9,10,6,22,1.0
995,0,2,0,6,28,0,9,10,6,34,2.0
996,5,2,0,6,28,0,9,10,6,28,3.0
997,5,2,0,6,28,0,9,10,18,40,4.0
998,6,2,0,6,28,0,9,10,18,40,5.0
999,5,2,0,6,28,0,9,10,12,40,6.0
1000,3,2,0,6,28,0,9,10,6,28,7.0
1001,3,2,0,6,28,0,9,10,6,40,8.0
1002,6,2,0,6,28,0,9,10,6,28,9.0
1070,3,2,2,3,23,0,12,5,3,23,0.0
1071,4,2,2,3,23,0,12,5,9,29,1.0
1073,3,2,2,3,23,0,12,5,3,29,3.0
1074,3,2,2,3,23,0,12,5,6,29,4.0
1115,3,2,3,6,28,1,15,5,18,40,0.0
1116,3,2,3,6,28,1,15,5,6,40,1.0
1117,3,2,3,6,28,1,15,5,6,22,2.0
1118,3,2,3,6,28,1,15,5,12,34,3.0
1119,3,2,3,6,28,1,15,5,12,40,4.0
1152,2,2,4,6,18,0,15,10,6,24,0.0
1153,6,2,4,6,18,0,15,10,12,24,1.0
1154,6,2,4,6,18,0,15,10,18,30,2.0
1155,4,2,4,6,18,0,15,10,12,24,3.0
1157,2,2,4,6,18,0,15,10,6,24,5.0
1159,6,2,4,6,18,0,15,10,6,30,7.0
1160,4,2,4,6,18,0,15,10,6,24,8.0
1161,0,2,4,6,18,0,15,10,6,18,9.0
1239,3,2,6,3,23,0,18,15,6,26,0.0
1240,2,2,6,3,23,0,18,15,3,23,1.0
1241,4,2,6,3,23,0,18,15,9,29,2.0
1242,5,2,6,3,23,0,18,15,6,26,3.0
1243,2,2,6,3,23,0,18,15,3,26,4.0
1244,6,2,6,3,23,0,18,15,3,23,5.0
1245,4,2,6,3,23,0,18,15,9,29,6.0
1246,0,2,6,3,23,0,18,15,3,23,7.0
1247,1,2,6,3,23,0,18,15,3,23,8.0
1248,3,2,6,3,23,0,18,15,9,29,9.0
1249,0,2,6,3,23,0,18,15,6,29,10.0
1250,1,2,6,3,23,0,18,15,9,29,11.0
1251,2,2,6,3,23,0,18,15,3,29,12.0
1252,2,2,6,3,23,0,18,15,3,26,13.0
1253,5,2,6,3,23,0,18,15,6,26,14.0
1291,1,2,7,6,18,1,18,15,6,18,0.0
1292,4,2,7,6,18,1,18,15,12,24,1.0
1293,2,2,7,6,18,1,18,15,6,24,2.0
1294,6,2,7,6,18,1,18,15,12,30,3.0
1295,4,2,7,6,18,1,18,15,6,18,4.0
1296,6,2,7,6,18,1,18,15,12,24,5.0
1297,7,2,7,6,18,1,18,15,18,30,6.0
1298,5,2,7,6,18,1,18,15,12,30,7.0
1299,4,2,7,6,18,1,18,15,6,18,8.0
1300,6,2,7,6,18,1,18,15,12,24,9.0
1301,4,2,7,6,18,1,18,15,6,24,10.0
1302,3,2,7,6,18,1,18,15,6,24,11.0
1303,6,2,7,6,18,1,18,15,6,24,12.0
1304,5,2,7,6,18,1,18,15,6,24,13.0
1305,6,2,7,6,18,1,18,15,12,30,14.0
1343,6,2,8,3,28,1,18,15,3,28,0.0
1344,5,2,8,3,28,1,18,15,3,28,1.0
1345,7,2,8,3,28,1,18,15,3,28,2.0
1346,5,2,8,3,28,1,18,15,6,25,3.0
1347,5,2,8,3,28,1,18,15,3,28,4.0
1348,7,2,8,3,28,1,18,15,3,34,5.0
1349,7,2,8,3,28,1,18,15,3,28,6.0
1350,0,2,8,3,28,1,18,15,6,34,7.0
1351,5,2,8,3,28,1,18,15,3,28,8.0
1352,6,2,8,3,28,1,18,15,3,28,9.0
1353,5,2,8,3,28,1,18,15,3,28,10.0
1354,6,2,8,3,28,1,18,15,3,28,11.0
1355,6,2,8,3,28,1,18,15,3,28,12.0
1356,5,2,8,3,28,1,18,15,3,34,13.0
1357,6,2,8,3,28,1,18,15,3,34,14.0
1391,4,2,9,6,18,0,9,5,6,24,0.0
1392,4,2,9,6,18,0,9,5,6,24,1.0
1393,4,2,9,6,18,0,9,5,12,24,2.0
1395,6,2,9,6,18,0,9,5,6,12,4.0
1444,6,2,10,3,28,0,15,10,9,25,0.0
1445,5,2,10,3,28,0,15,10,3,31,1.0
1447,5,2,10,3,28,0,15,10,9,34,3.0
1448,6,2,10,3,28,0,15,10,9,25,4.0
1449,7,2,10,3,28,0,15,10,6,31,5.0
1450,6,2,10,3,28,0,15,10,6,25,6.0
1451,5,2,10,3,28,0,15,10,3,25,7.0
1452,4,2,10,3,28,0,15,10,3,31,8.0
1453,4,2,10,3,28,0,15,10,3,25,9.0
1493,3,3,0,3,23,0,12,10,3,29,0.0
1494,2,3,0,3,23,0,12,10,6,26,1.0
1495,3,3,0,3,23,0,12,10,6,26,2.0
1496,3,3,0,3,23,0,12,10,3,26,3.0
1497,4,3,0,3,23,0,12,10,3,23,4.0
1498,4,3,0,3,23,0,12,10,6,26,5.0
1499,4,3,0,3,23,0,12,10,3,23,6.0
1500,4,3,0,3,23,0,12,10,3,26,7.0
1501,3,3,0,3,23,0,12,10,3,29,8.0
1502,4,3,0,3,23,0,12,10,3,26,9.0
1578,6,3,2,6,28,1,18,10,6,34,0.0
1580,6,3,2,6,28,1,18,10,18,22,2.0
1581,6,3,2,6,28,1,18,10,6,28,3.0
1582,6,3,2,6,28,1,18,10,6,34,4.0
1583,7,3,2,6,28,1,18,10,12,28,5.0
1584,7,3,2,6,28,1,18,10,12,34,6.0
1585,6,3,2,6,28,1,18,10,12,28,7.0
1586,6,3,2,6,28,1,18,10,12,28,8.0
1667,7,3,4,3,28,1,18,5,9,25,0.0
1669,3,3,4,3,28,1,18,5,3,31,2.0
1670,7,3,4,3,28,1,18,5,6,28,3.0
1671,4,3,4,3,28,1,18,5,6,31,4.0
1705,8,3,5,6,18,0,9,15,18,30,0.0
1706,5,3,5,6,18,0,9,15,12,24,1.0
1707,3,3,5,6,18,0,9,15,6,30,2.0
1708,6,3,5,6,18,0,9,15,12,30,3.0
1709,3,3,5,6,18,0,9,15,6,24,4.0
1710,8,3,5,6,18,0,9,15,18,30,5.0
1711,8,3,5,6,18,0,9,15,6,18,6.0
1712,8,3,5,6,18,0,9,15,12,30,7.0
1713,8,3,5,6,18,0,9,15,18,30,8.0
1714,8,3,5,6,18,0,9,15,12,24,9.0
1715,4,3,5,6,18,0,9,15,6,30,10.0
1716,6,3,5,6,18,0,9,15,12,30,11.0
1717,6,3,5,6,18,0,9,15,6,30,12.0
1718,9,3,5,6,18,0,9,15,18,30,13.0
1719,9,3,5,6,18,0,9,15,18,30,14.0
1761,8,3,6,6,23,1,12,15,12,29,1.0
1762,8,3,6,6,23,1,12,15,18,35,2.0
1763,6,3,6,6,23,1,12,15,12,29,3.0
1764,3,3,6,6,23,1,12,15,12,35,4.0
1765,8,3,6,6,23,1,12,15,6,29,5.0
1766,4,3,6,6,23,1,12,15,6,35,6.0
1767,5,3,6,6,23,1,12,15,6,29,7.0
1768,7,3,6,6,23,1,12,15,12,29,8.0
1769,8,3,6,6,23,1,12,15,6,23,9.0
1770,8,3,6,6,23,1,12,15,6,29,10.0
1771,6,3,6,6,23,1,12,15,6,23,11.0
1772,7,3,6,6,23,1,12,15,6,29,12.0
1773,7,3,6,6,23,1,12,15,12,29,13.0
1774,6,3,6,6,23,1,12,15,6,23,14.0
1815,3,3,7,3,18,0,15,15,3,18,0.0
1816,3,3,7,3,18,0,15,15,3,18,1.0
1817,3,3,7,3,18,0,15,15,3,18,2.0
1818,4,3,7,3,18,0,15,15,3,18,3.0
1819,4,3,7,3,18,0,15,15,3,24,4.0
1820,3,3,7,3,18,0,15,15,6,21,5.0
1821,2,3,7,3,18,0,15,15,6,21,6.0
1822,6,3,7,3,18,0,15,15,3,18,7.0
1823,5,3,7,3,18,0,15,15,6,21,8.0
1824,2,3,7,3,18,0,15,15,6,18,9.0
1825,7,3,7,3,18,0,15,15,3,18,10.0
1826,4,3,7,3,18,0,15,15,6,24,11.0
1827,4,3,7,3,18,0,15,15,6,24,12.0
1828,8,3,7,3,18,0,15,15,6,18,13.0
1829,4,3,7,3,18,0,15,15,6,18,14.0
1856,1,3,8,6,28,1,9,5,6,28,0.0
1858,1,3,8,6,28,1,9,5,18,22,2.0
1859,2,3,8,6,28,1,9,5,6,28,3.0
1860,5,3,8,6,28,1,9,5,6,40,4.0
1893,2,3,9,3,28,0,9,5,6,28,0.0
1894,6,3,9,3,28,0,9,5,6,25,1.0
1895,7,3,9,3,28,0,9,5,3,34,2.0
1896,6,3,9,3,28,0,9,5,9,34,3.0
1897,5,3,9,3,28,0,9,5,3,28,4.0
1938,3,3,10,6,18,1,12,10,18,30,0.0
1939,9,3,10,6,18,1,12,10,12,30,1.0
1940,5,3,10,6,18,1,12,10,6,30,2.0
1941,6,3,10,6,18,1,12,10,6,12,3.0
1942,6,3,10,6,18,1,12,10,12,30,4.0
1943,7,3,10,6,18,1,12,10,12,12,5.0
1944,3,3,10,6,18,1,12,10,6,18,6.0
1945,10,3,10,6,18,1,12,10,6,18,7.0
1946,4,3,10,6,18,1,12,10,6,12,8.0
1947,2,3,10,6,18,1,12,10,6,18,9.0
1983,1,4,0,3,28,1,15,15,3,31,0.0
1984,1,4,0,3,28,1,15,15,6,34,1.0
1985,1,4,0,3,28,1,15,15,3,34,2.0
1986,2,4,0,3,28,1,15,15,3,31,3.0
1987,2,4,0,3,28,1,15,15,9,34,4.0
1988,1,4,0,3,28,1,15,15,6,34,5.0
1989,1,4,0,3,28,1,15,15,9,34,6.0
1990,1,4,0,3,28,1,15,15,3,28,7.0
1991,2,4,0,3,28,1,15,15,3,31,8.0
1992,1,4,0,3,28,1,15,15,6,28,9.0
1993,1,4,0,3,28,1,15,15,3,28,10.0
1994,2,4,0,3,28,1,15,15,3,31,11.0
1995,1,4,0,3,28,1,15,15,9,34,12.0
1996,0,4,0,3,28,1,15,15,9,34,13.0
1997,1,4,0,3,28,1,15,15,6,34,14.0
2033,1,4,1,6,23,0,18,15,6,23,0.0
2034,4,4,1,6,23,0,18,15,6,29,1.0
2036,4,4,1,6,23,0,18,15,12,35,3.0
2037,0,4,1,6,23,0,18,15,6,23,4.0
2038,1,4,1,6,23,0,18,15,6,23,5.0
2039,4,4,1,6,23,0,18,15,12,29,6.0
2040,1,4,1,6,23,0,18,15,6,29,7.0
2041,1,4,1,6,23,0,18,15,6,29,8.0
2042,3,4,1,6,23,0,18,15,18,35,9.0
2043,4,4,1,6,23,0,18,15,12,29,10.0
2044,1,4,1,6,23,0,18,15,6,23,11.0
2045,3,4,1,6,23,0,18,15,18,35,12.0
2046,2,4,1,6,23,0,18,15,18,35,13.0
2047,0,4,1,6,23,0,18,15,6,35,14.0
2090,2,4,2,6,18,0,18,5,6,24,0.0
2091,8,4,2,6,18,0,18,5,12,30,1.0
2092,3,4,2,6,18,0,18,5,6,12,2.0
2093,7,4,2,6,18,0,18,5,18,30,3.0
2160,1,4,4,3,18,0,9,10,3,18,0.0
2161,1,4,4,3,18,0,9,10,9,24,1.0
2162,1,4,4,3,18,0,9,10,9,24,2.0
2163,0,4,4,3,18,0,9,10,3,21,3.0
2164,0,4,4,3,18,0,9,10,3,18,4.0
2165,0,4,4,3,18,0,9,10,6,18,5.0
2166,1,4,4,3,18,0,9,10,3,24,6.0
2168,0,4,4,3,18,0,9,10,6,18,8.0
2216,4,4,5,6,23,1,18,5,6,29,0.0
2217,2,4,5,6,23,1,18,5,12,35,1.0
2218,3,4,5,6,23,1,18,5,6,29,2.0
2219,2,4,5,6,23,1,18,5,12,29,3.0
2220,1,4,5,6,23,1,18,5,6,29,4.0
2247,0,4,6,3,18,1,12,5,3,21,0.0
2248,0,4,6,3,18,1,12,5,6,21,1.0
2249,0,4,6,3,18,1,12,5,9,24,2.0
2250,0,4,6,3,18,1,12,5,3,18,3.0
2251,0,4,6,3,18,1,12,5,6,24,4.0
2292,0,4,7,6,28,0,9,10,6,28,1.0
2293,3,4,7,6,28,0,9,10,6,28,2.0
2294,3,4,7,6,28,0,9,10,6,34,3.0
2295,4,4,7,6,28,0,9,10,12,34,4.0
2297,1,4,7,6,28,0,9,10,6,28,6.0
2298,2,4,7,6,28,0,9,10,6,40,7.0
2299,4,4,7,6,28,0,9,10,6,34,8.0
2300,4,4,7,6,28,0,9,10,12,40,9.0
2339,0,4,8,6,23,1,9,10,6,35,1.0
2340,0,4,8,6,23,1,9,10,6,23,2.0
2342,0,4,8,6,23,1,9,10,12,35,4.0
2343,0,4,8,6,23,1,9,10,12,29,5.0
2344,0,4,8,6,23,1,9,10,6,29,6.0
2345,0,4,8,6,23,1,9,10,6,35,7.0
2346,0,4,8,6,23,1,9,10,6,23,8.0
2347,0,4,8,6,23,1,9,10,12,29,9.0
2423,1,4,10,6,23,1,15,15,6,29,0.0
2424,3,4,10,6,23,1,15,15,12,35,1.0
2425,3,4,10,6,23,1,15,15,6,23,2.0
2426,3,4,10,6,23,1,15,15,6,23,3.0
2427,2,4,10,6,23,1,15,15,6,23,4.0
2429,2,4,10,6,23,1,15,15,12,29,6.0
2430,3,4,10,6,23,1,15,15,12,35,7.0
2431,3,4,10,6,23,1,15,15,12,29,8.0
2432,2,4,10,6,23,1,15,15,6,23,9.0
2433,3,4,10,6,23,1,15,15,6,35,10.0
2435,0,4,10,6,23,1,15,15,12,29,12.0
2436,2,4,10,6,23,1,15,15,6,23,13.0
2437,2,4,10,6,23,1,15,15,6,29,14.0
2475,10,5,0,3,23,1,15,15,3,29,0.0
2476,10,5,0,3,23,1,15,15,3,26,1.0
2477,10,5,0,3,23,1,15,15,6,26,2.0
2478,10,5,0,3,23,1,15,15,3,23,3.0
2479,10,5,0,3,23,1,15,15,3,23,4.0
2480,10,5,0,3,23,1,15,15,3,26,5.0
2481,6,5,0,3,23,1,15,15,3,26,6.0
2482,9,5,0,3,23,1,15,15,3,29,7.0
2483,10,5,0,3,23,1,15,15,6,26,8.0
2484,8,5,0,3,23,1,15,15,3,26,9.0
2485,2,5,0,3,23,1,15,15,3,26,10.0
2487,10,5,0,3,23,1,15,15,9,29,12.0
2489,10,5,0,3,23,1,15,15,6,26,14.0
2522,10,5,1,6,28,0,15,15,18,40,0.0
2523,4,5,1,6,28,0,15,15,12,34,1.0
2525,10,5,1,6,28,0,15,15,12,40,3.0
2527,10,5,1,6,28,0,15,15,6,40,5.0
2528,10,5,1,6,28,0,15,15,12,34,6.0
2530,6,5,1,6,28,0,15,15,12,34,8.0
2531,10,5,1,6,28,0,15,15,18,40,9.0
2532,6,5,1,6,28,0,15,15,12,34,10.0
2533,6,5,1,6,28,0,15,15,6,22,11.0
2534,6,5,1,6,28,0,15,15,6,34,12.0
2535,7,5,1,6,28,0,15,15,6,34,13.0
2536,10,5,1,6,28,0,15,15,6,34,14.0
2579,6,5,2,6,18,0,15,5,6,24,0.0
2580,10,5,2,6,18,0,15,5,6,30,1.0
2581,10,5,2,6,18,0,15,5,18,30,2.0
2582,8,5,2,6,18,0,15,5,6,18,3.0
2583,9,5,2,6,18,0,15,5,12,30,4.0
2623,8,5,3,3,18,1,12,10,3,18,0.0
2624,10,5,3,3,18,1,12,10,6,21,1.0
2625,3,5,3,3,18,1,12,10,3,21,2.0
2626,10,5,3,3,18,1,12,10,6,21,3.0
2627,5,5,3,3,18,1,12,10,3,21,4.0
2628,7,5,3,3,18,1,12,10,6,18,5.0
2629,5,5,3,3,18,1,12,10,3,21,6.0
2630,6,5,3,3,18,1,12,10,9,24,7.0
2631,6,5,3,3,18,1,12,10,6,18,8.0
2632,5,5,3,3,18,1,12,10,3,18,9.0
2670,10,5,4,6,23,1,12,5,12,35,0.0
2671,7,5,4,6,23,1,12,5,6,23,1.0
2672,10,5,4,6,23,1,12,5,18,35,2.0
2674,6,5,4,6,23,1,12,5,6,23,4.0
2723,8,5,5,3,28,0,18,15,3,34,0.0
2724,9,5,5,3,28,0,18,15,9,34,1.0
2725,10,5,5,3,28,0,18,15,3,28,2.0
2726,8,5,5,3,28,0,18,15,3,31,3.0
2727,3,5,5,3,28,0,18,15,6,25,4.0
2728,9,5,5,3,28,0,18,15,9,34,5.0
2729,7,5,5,3,28,0,18,15,6,28,6.0
2730,6,5,5,3,28,0,18,15,9,34,7.0
2731,7,5,5,3,28,0,18,15,6,34,8.0
2732,9,5,5,3,28,0,18,15,3,31,9.0
2733,10,5,5,3,28,0,18,15,3,28,10.0
2734,8,5,5,3,28,0,18,15,3,34,11.0
2735,4,5,5,3,28,0,18,15,6,25,12.0
2736,10,5,5,3,28,0,18,15,6,28,13.0
2737,10,5,5,3,28,0,18,15,3,28,14.0
2844,5,5,8,3,28,1,18,10,6,34,0.0
2845,6,5,8,3,28,1,18,10,6,34,1.0
2846,6,5,8,3,28,1,18,10,3,28,2.0
2847,1,5,8,3,28,1,18,10,3,31,3.0
2848,10,5,8,3,28,1,18,10,6,34,4.0
2849,6,5,8,3,28,1,18,10,9,34,5.0
2850,10,5,8,3,28,1,18,10,3,34,6.0
2851,6,5,8,3,28,1,18,10,9,34,7.0
2852,4,5,8,3,28,1,18,10,3,28,8.0
2891,0,5,9,6,23,0,18,10,6,23,0.0
2892,5,5,9,6,23,0,18,10,6,23,1.0
2893,2,5,9,6,23,0,18,10,6,23,2.0
2896,10,5,9,6,23,0,18,10,6,35,5.0
2897,4,5,9,6,23,0,18,10,6,29,6.0
2898,2,5,9,6,23,0,18,10,6,23,7.0
2899,9,5,9,6,23,0,18,10,12,35,8.0
2900,5,5,9,6,23,0,18,10,12,29,9.0
2924,5,5,10,6,18,1,9,5,12,24,0.0
2925,7,5,10,6,18,1,9,5,6,24,1.0
2926,9,5,10,6,18,1,9,5,6,24,2.0
2927,9,5,10,6,18,1,9,5,18,30,3.0
2928,9,5,10,6,18,1,9,5,12,24,4.0
2967,10,6,0,6,18,1,15,5,6,30,0.0
2968,10,6,0,6,18,1,15,5,18,30,1.0
2969,10,6,0,6,18,1,15,5,6,24,2.0
2970,10,6,0,6,18,1,15,5,6,30,3.0
3006,10,6,1,3,23,0,12,5,9,29,0.0
3007,5,6,1,3,23,0,12,5,3,20,1.0
3008,6,6,1,3,23,0,12,5,6,29,2.0
3009,6,6,1,3,23,0,12,5,3,26,3.0
3010,10,6,1,3,23,0,12,5,9,29,4.0
3049,10,6,2,3,28,0,18,15,6,25,0.0
3050,10,6,2,3,28,0,18,15,3,34,1.0
3051,10,6,2,3,28,0,18,15,6,28,2.0
3052,10,6,2,3,28,0,18,15,3,28,3.0
3053,10,6,2,3,28,0,18,15,3,28,4.0
3054,10,6,2,3,28,0,18,15,6,28,5.0
3055,10,6,2,3,28,0,18,15,3,34,6.0
3056,9,6,2,3,28,0,18,15,9,34,7.0
3057,10,6,2,3,28,0,18,15,9,34,8.0
3059,10,6,2,3,28,0,18,15,3,34,10.0
3061,10,6,2,3,28,0,18,15,3,28,12.0
