,correct,subject,block,block_difficulty,block_value_level,block_stimulus_type,block_ntrials_phase1,block_ntrials_phase2,trial_difficulty,trial_value_chosen,trial_number
341,1,0,7,3,28,1,12,0,3,31,22
342,1,0,7,3,28,1,12,0,3,31,23
344,1,0,7,3,28,1,12,0,6,34,25
345,1,0,7,3,28,1,12,0,6,31,26
351,0,0,8,3,18,0,12,15,6,18,0
352,0,0,8,3,18,0,12,15,3,21,1
353,0,0,8,3,18,0,12,15,6,15,2
355,1,0,8,3,18,0,12,15,9,24,4
356,1,0,8,3,18,0,12,15,6,24,5
358,0,0,8,3,18,0,12,15,6,18,7
359,0,0,8,3,18,0,12,15,9,15,8
360,1,0,8,3,18,0,12,15,9,24,9
361,1,0,8,3,18,0,12,15,9,24,10
389,1,0,8,3,18,0,12,15,9,24,13
391,0,0,8,3,18,0,12,15,3,21,15
393,0,0,8,3,18,0,12,15,3,15,17
396,1,0,8,3,18,0,12,15,6,24,20
398,1,0,8,3,18,0,12,15,3,21,22
399,1,0,8,3,18,0,12,15,3,24,23
400,1,0,8,3,18,0,12,15,3,24,24
402,1,0,8,3,18,0,12,15,9,24,26
408,0,0,9,6,23,1,18,5,18,17,0
409,1,0,9,6,23,1,18,5,12,29,1
410,0,0,9,6,23,1,18,5,18,17,2
411,1,0,9,6,23,1,18,5,6,23,3
413,1,0,9,6,23,1,18,5,6,29,5
414,1,0,9,6,23,1,18,5,18,35,6
416,1,0,9,6,23,1,18,5,12,29,8
417,1,0,9,6,23,1,18,5,18,35,9
418,1,0,9,6,23,1,18,5,12,29,10
420,1,0,9,6,23,1,18,5,12,29,12
421,1,0,9,6,23,1,18,5,12,29,13
423,1,0,9,6,23,1,18,5,6,23,15
425,0,0,9,6,23,1,18,5,6,29,17
438,1,0,9,6,23,1,18,5,12,35,20
440,1,0,9,6,23,1,18,5,6,23,22
441,1,0,9,6,23,1,18,5,12,35,23
442,1,0,9,6,23,1,18,5,12,29,24
444,1,0,9,6,23,1,18,5,6,23,26
450,0,0,10,3,28,0,9,10,3,25,0
451,1,0,10,3,28,0,9,10,6,31,1
452,1,0,10,3,28,0,9,10,6,34,2
454,1,0,10,3,28,0,9,10,3,31,4
455,0,0,10,3,28,0,9,10,6,28,5
456,1,0,10,3,28,0,9,10,3,31,6
471,1,0,10,3,28,0,9,10,6,31,11
472,1,0,10,3,28,0,9,10,9,34,12
474,0,0,10,3,28,0,9,10,6,28,14
476,1,0,10,3,28,0,9,10,3,31,16
477,1,0,10,3,28,0,9,10,3,31,17
478,1,0,10,3,28,0,9,10,3,34,18
479,0,0,10,3,28,0,9,10,3,28,19
481,1,0,10,3,28,0,9,10,3,31,21
482,1,0,10,3,28,0,9,10,3,28,22
484,1,0,10,3,28,0,9,10,9,34,24
486,1,0,10,3,28,0,9,10,9,34,26
492,0,1,0,6,18,1,9,0,6,18,0
493,1,1,0,6,18,1,9,0,12,30,1
494,0,1,0,6,18,1,9,0,6,12,2
496,0,1,0,6,18,1,9,0,6,18,4
497,1,1,0,6,18,1,9,0,18,30,5
498,1,1,0,6,18,1,9,0,12,24,6
499,0,1,0,6,18,1,9,0,6,18,7
503,1,1,0,6,18,1,9,0,12,30,11
504,1,1,0,6,18,1,9,0,12,30,12
506,1,1,0,6,18,1,9,0,12,30,14
507,1,1,0,6,18,1,9,0,6,18,15
509,1,1,0,6,18,1,9,0,12,30,17
510,1,1,0,6,18,1,9,0,6,18,18
512,1,1,0,6,18,1,9,0,12,30,20
514,1,1,0,6,18,1,9,0,6,24,22
515,1,1,0,6,18,1,9,0,6,18,23
517,1,1,0,6,18,1,9,0,6,18,25
518,1,1,0,6,18,1,9,0,6,30,26
524,1,1,1,3,23,0,18,15,6,26,0
526,0,1,1,3,23,0,18,15,6,23,2
528,0,1,1,3,23,0,18,15,3,23,4
529,0,1,1,3,23,0,18,15,9,20,5
530,0,1,1,3,23,0,18,15,6,23,6
532,0,1,1,3,23,0,18,15,3,20,8
533,0,1,1,3,23,0,18,15,6,23,9
534,1,1,1,3,23,0,18,15,6,26,10
536,1,1,1,3,23,0,18,15,6,26,12
538,0,1,1,3,23,0,18,15,3,26,14
539,0,1,1,3,23,0,18,15,3,26,15
563,1,1,1,3,23,0,18,15,3,23,19
565,1,1,1,3,23,0,18,15,6,26,21
566,1,1,1,3,23,0,18,15,3,23,22
568,1,1,1,3,23,0,18,15,3,26,24
570,0,1,1,3,23,0,18,15,3,23,26
576,0,1,2,6,28,1,18,5,6,34,0
577,1,1,2,6,28,1,18,5,18,40,1
578,0,1,2,6,28,1,18,5,6,34,2
579,1,1,2,6,28,1,18,5,6,28,3
581,1,1,2,6,28,1,18,5,12,40,5
583,1,1,2,6,28,1,18,5,6,28,7
584,1,1,2,6,28,1,18,5,12,34,8
586,0,1,2,6,28,1,18,5,6,28,10
587,1,1,2,6,28,1,18,5,18,40,11
588,0,1,2,6,28,1,18,5,6,28,12
590,1,1,2,6,28,1,18,5,12,40,14
591,1,1,2,6,28,1,18,5,12,34,15
592,1,1,2,6,28,1,18,5,6,40,16
610,1,1,2,6,28,1,18,5,12,40,19
612,1,1,2,6,28,1,18,5,18,40,21
615,1,1,2,6,28,1,18,5,12,34,24
617,1,1,2,6,28,1,18,5,18,40,26
623,0,1,3,3,23,0,15,10,6,23,0
624,1,1,3,3,23,0,15,10,9,29,1
625,1,1,3,3,23,0,15,10,3,26,2
626,0,1,3,3,23,0,15,10,6,20,3
629,1,1,3,3,23,0,15,10,6,26,6
631,0,1,3,3,23,0,15,10,9,20,8
633,1,1,3,3,23,0,15,10,3,26,10
634,0,1,3,3,23,0,15,10,3,26,11
637,0,1,3,3,23,0,15,10,3,26,14
655,1,1,3,3,23,0,15,10,3,23,17
657,1,1,3,3,23,0,15,10,6,29,19
658,0,1,3,3,23,0,15,10,3,20,20
660,1,1,3,3,23,0,15,10,6,29,22
661,1,1,3,3,23,0,15,10,3,26,23
662,1,1,3,3,23,0,15,10,3,26,24
663,1,1,3,3,23,0,15,10,6,26,25
670,1,1,4,6,28,0,12,5,6,28,0
671,1,1,4,6,28,0,12,5,6,34,1
672,0,1,4,6,28,0,12,5,12,28,2
674,0,1,4,6,28,0,12,5,6,22,4
675,0,1,4,6,28,0,12,5,6,34,5
677,1,1,4,6,28,0,12,5,6,34,7
678,1,1,4,6,28,0,12,5,12,40,8
679,1,1,4,6,28,0,12,5,18,40,9
680,1,1,4,6,28,0,12,5,18,40,10
694,1,1,4,6,28,0,12,5,12,34,14
697,1,1,4,6,28,0,12,5,12,34,17
698,1,1,4,6,28,0,12,5,6,34,18
699,1,1,4,6,28,0,12,5,12,40,19
703,1,1,4,6,28,0,12,5,12,40,23
704,0,1,4,6,28,0,12,5,6,28,24
706,0,1,4,6,28,0,12,5,6,34,26
712,0,1,5,3,18,1,18,5,3,21,0
713,0,1,5,3,18,1,18,5,6,18,1
714,0,1,5,3,18,1,18,5,3,15,2
716,1,1,5,3,18,1,18,5,3,24,4
717,1,1,5,3,18,1,18,5,9,24,5
718,1,1,5,3,18,1,18,5,3,18,6
720,1,1,5,3,18,1,18,5,9,24,8
721,0,1,5,3,18,1,18,5,3,21,9
722,0,1,5,3,18,1,18,5,3,18,10
725,1,1,5,3,18,1,18,5,6,24,13
726,1,1,5,3,18,1,18,5,9,24,14
729,0,1,5,3,18,1,18,5,6,15,17
736,1,1,5,3,18,1,18,5,6,24,19
740,1,1,5,3,18,1,18,5,6,24,23
741,0,1,5,3,18,1,18,5,3,18,24
742,1,1,5,3,18,1,18,5,6,24,25
749,1,1,6,6,18,0,12,10,12,30,0
750,0,1,6,6,18,0,12,10,6,12,1
751,0,1,6,6,18,0,12,10,18,12,2
753,0,1,6,6,18,0,12,10,12,12,4
754,1,1,6,6,18,0,12,10,12,24,5
756,1,1,6,6,18,0,12,10,6,24,7
757,0,1,6,6,18,0,12,10,6,12,8
758,1,1,6,6,18,0,12,10,12,24,9
773,1,1,6,6,18,0,12,10,6,18,14
776,0,1,6,6,18,0,12,10,6,24,17
777,1,1,6,6,18,0,12,10,12,24,18
779,1,1,6,6,18,0,12,10,6,18,20
780,1,1,6,6,18,0,12,10,12,30,21
782,1,1,6,6,18,0,12,10,18,30,23
784,1,1,6,6,18,0,12,10,18,30,25
785,0,1,6,6,18,0,12,10,6,24,26
791,0,1,7,3,23,1,9,10,3,26,0
792,0,1,7,3,23,1,9,10,6,20,1
793,1,1,7,3,23,1,9,10,9,29,2
794,0,1,7,3,23,1,9,10,3,23,3
795,1,1,7,3,23,1,9,10,3,26,4
797,1,1,7,3,23,1,9,10,3,23,6
798,1,1,7,3,23,1,9,10,6,26,7
822,0,1,7,3,23,1,9,10,9,20,11
823,0,1,7,3,23,1,9,10,3,26,12
824,1,1,7,3,23,1,9,10,9,29,13
827,1,1,7,3,23,1,9,10,3,26,16
828,0,1,7,3,23,1,9,10,3,26,17
831,1,1,7,3,23,1,9,10,3,26,20
832,0,1,7,3,23,1,9,10,3,20,21
835,1,1,7,3,23,1,9,10,9,29,24
837,1,1,7,3,23,1,9,10,6,26,26
843,1,1,8,3,28,1,12,15,9,34,0
844,1,1,8,3,28,1,12,15,9,34,1
845,0,1,8,3,28,1,12,15,6,28,2
846,1,1,8,3,28,1,12,15,3,31,3
848,1,1,8,3,28,1,12,15,3,34,5
849,1,1,8,3,28,1,12,15,3,28,6
850,1,1,8,3,28,1,12,15,6,34,7
852,0,1,8,3,28,1,12,15,6,25,9
853,1,1,8,3,28,1,12,15,9,34,10
881,1,1,8,3,28,1,12,15,9,34,13
884,1,1,8,3,28,1,12,15,6,31,16
885,1,1,8,3,28,1,12,15,6,34,17
886,0,1,8,3,28,1,12,15,3,31,18
887,1,1,8,3,28,1,12,15,9,34,19
890,1,1,8,3,28,1,12,15,3,31,22
891,1,1,8,3,28,1,12,15,3,28,23
892,1,1,8,3,28,1,12,15,6,34,24
894,1,1,8,3,28,1,12,15,6,34,26
900,1,1,9,6,18,0,9,0,6,24,0
901,0,1,9,6,18,0,9,0,12,18,1
902,1,1,9,6,18,0,9,0,6,18,2
904,1,1,9,6,18,0,9,0,6,24,4
905,1,1,9,6,18,0,9,0,18,30,5
906,1,1,9,6,18,0,9,0,12,30,6
907,1,1,9,6,18,0,9,0,6,24,7
916,1,1,9,6,18,0,9,0,6,24,11
917,0,1,9,6,18,0,9,0,6,12,12
918,1,1,9,6,18,0,9,0,18,30,13
922,1,1,9,6,18,0,9,0,12,30,17
923,1,1,9,6,18,0,9,0,6,18,18
924,1,1,9,6,18,0,9,0,6,24,19
927,1,1,9,6,18,0,9,0,18,30,22
928,1,1,9,6,18,0,9,0,6,24,23
929,1,1,9,6,18,0,9,0,6,24,24
931,1,1,9,6,18,0,9,0,6,18,26
937,0,1,10,3,28,1,15,15,6,28,0
938,0,1,10,3,28,1,15,15,6,25,1
939,0,1,10,3,28,1,15,15,3,31,2
940,0,1,10,3,28,1,15,15,3,25,3
943,1,1,10,3,28,1,15,15,3,28,6
944,1,1,10,3,28,1,15,15,3,31,7
946,0,1,10,3,28,1,15,15,6,25,9
948,1,1,10,3,28,1,15,15,3,28,11
949,0,1,10,3,28,1,15,15,6,25,12
970,0,1,10,3,28,1,15,15,9,25,18
972,0,1,10,3,28,1,15,15,3,31,20
974,0,1,10,3,28,1,15,15,9,25,22
975,0,1,10,3,28,1,15,15,9,25,23
976,0,1,10,3,28,1,15,15,3,25,24
977,0,1,10,3,28,1,15,15,9,25,25
984,1,2,0,6,28,0,9,10,6,40,0
985,1,2,0,6,28,0,9,10,12,40,1
986,0,2,0,6,28,0,9,10,6,28,2
987,1,2,0,6,28,0,9,10,6,28,3
988,0,2,0,6,28,0,9,10,6,22,4
990,1,2,0,6,28,0,9,10,6,40,6
991,1,2,0,6,28,0,9,10,12,40,7
1004,0,2,0,6,28,0,9,10,12,28,10
1006,1,2,0,6,28,0,9,10,12,40,12
1007,0,2,0,6,28,0,9,10,12,22,13
1009,1,2,0,6,28,0,9,10,6,28,15
1011,0,2,0,6,28,0,9,10,6,28,17
1012,1,2,0,6,28,0,9,10,12,40,18
1015,0,2,0,6,28,0,9,10,12,22,21
1016,1,2,0,6,28,0,9,10,12,40,22
1020,1,2,0,6,28,0,9,10,18,40,26
1026,0,2,1,3,18,1,12,0,3,18,0
1027,0,2,1,3,18,1,12,0,9,15,1
1028,1,2,1,3,18,1,12,0,3,18,2
1029,1,2,1,3,18,1,12,0,6,21,3
1030,0,2,1,3,18,1,12,0,9,15,4
1032,1,2,1,3,18,1,12,0,9,24,6
1033,1,2,1,3,18,1,12,0,3,24,7
1037,1,2,1,3,18,1,12,0,3,21,11
1039,0,2,1,3,18,1,12,0,3,15,13
1041,1,2,1,3,18,1,12,0,3,18,15
1042,1,2,1,3,18,1,12,0,6,24,16
1045,0,2,1,3,18,1,12,0,6,15,19
1046,0,2,1,3,18,1,12,0,3,21,20
1047,1,2,1,3,18,1,12,0,6,21,21
1048,1,2,1,3,18,1,12,0,3,18,22
1050,1,2,1,3,18,1,12,0,3,18,24
1051,1,2,1,3,18,1,12,0,3,24,25
1058,1,2,2,3,23,0,12,5,3,29,0
1059,1,2,2,3,23,0,12,5,3,26,1
1060,1,2,2,3,23,0,12,5,3,29,2
1061,1,2,2,3,23,0,12,5,3,23,3
1063,1,2,2,3,23,0,12,5,6,26,5
1064,1,2,2,3,23,0,12,5,6,29,6
1066,1,2,2,3,23,0,12,5,3,26,8
1067,1,2,2,3,23,0,12,5,6,26,9
1068,1,2,2,3,23,0,12,5,3,29,10
1082,0,2,2,3,23,0,12,5,3,23,14
1083,1,2,2,3,23,0,12,5,9,29,15
1084,0,2,2,3,23,0,12,5,6,23,16
1086,1,2,2,3,23,0,12,5,3,23,18
1088,0,2,2,3,23,0,12,5,6,20,20
1089,1,2,2,3,23,0,12,5,3,23,21
1090,1,2,2,3,23,0,12,5,6,26,22
1092,1,2,2,3,23,0,12,5,3,23,24
1094,1,2,2,3,23,0,12,5,6,26,26
1100,1,2,3,6,28,1,15,5,6,28,0
1101,0,2,3,6,28,1,15,5,6,28,1
1102,1,2,3,6,28,1,15,5,18,40,2
1103,1,2,3,6,28,1,15,5,6,40,3
1106,0,2,3,6,28,1,15,5,12,28,6
1108,1,2,3,6,28,1,15,5,6,28,8
1110,1,2,3,6,28,1,15,5,12,34,10
1111,1,2,3,6,28,1,15,5,18,40,11
1114,1,2,3,6,28,1,15,5,6,34,14
1122,1,2,3,6,28,1,15,5,18,40,17
1124,1,2,3,6,28,1,15,5,6,28,19
1125,0,2,3,6,28,1,15,5,6,22,20
1126,1,2,3,6,28,1,15,5,18,40,21
1128,1,2,3,6,28,1,15,5,6,40,23
1129,1,2,3,6,28,1,15,5,12,40,24
1131,1,2,3,6,28,1,15,5,12,34,26
1137,0,2,4,6,18,0,15,10,6,18,0
1138,1,2,4,6,18,0,15,10,12,30,1
1139,1,2,4,6,18,0,15,10,6,30,2
1140,0,2,4,6,18,0,15,10,12,12,3
1141,1,2,4,6,18,0,15,10,12,24,4
1143,0,2,4,6,18,0,15,10,12,18,6
1144,1,2,4,6,18,0,15,10,6,24,7
1147,1,2,4,6,18,0,15,10,18,30,10
1148,1,2,4,6,18,0,15,10,6,30,11
1149,1,2,4,6,18,0,15,10,12,24,12
1151,1,2,4,6,18,0,15,10,18,30,14
1168,1,2,4,6,18,0,15,10,6,24,16
1170,1,2,4,6,18,0,15,10,6,30,18
1172,0,2,4,6,18,0,15,10,6,12,20
1177,1,2,4,6,18,0,15,10,6,24,25
1178,1,2,4,6,18,0,15,10,6,18,26
1184,0,2,5,3,23,1,9,0,9,20,0
1185,1,2,5,3,23,1,9,0,3,23,1
1186,1,2,5,3,23,1,9,0,6,29,2
1187,1,2,5,3,23,1,9,0,3,29,3
1189,1,2,5,3,23,1,9,0,3,29,5
1190,1,2,5,3,23,1,9,0,9,29,6
1199,0,2,5,3,23,1,9,0,3,23,10
1201,1,2,5,3,23,1,9,0,6,29,12
1203,0,2,5,3,23,1,9,0,3,23,14
1204,1,2,5,3,23,1,9,0,9,29,15
1206,1,2,5,3,23,1,9,0,3,29,17
1207,1,2,5,3,23,1,9,0,6,29,18
1208,1,2,5,3,23,1,9,0,3,23,19
1210,1,2,5,3,23,1,9,0,3,29,21
1212,1,2,5,3,23,1,9,0,9,29,23
1215,1,2,5,3,23,1,9,0,3,29,26
1221,1,2,6,3,23,0,18,15,6,29,0
1222,0,2,6,3,23,0,18,15,9,20,1
1223,1,2,6,3,23,0,18,15,6,26,2
1224,1,2,6,3,23,0,18,15,3,26,3
1227,1,2,6,3,23,0,18,15,3,23,6
1229,1,2,6,3,23,0,18,15,9,29,8
1230,1,2,6,3,23,0,18,15,3,23,9
1232,1,2,6,3,23,0,18,15,9,29,11
1233,0,2,6,3,23,0,18,15,3,26,12
1234,1,2,6,3,23,0,18,15,3,23,13
1236,1,2,6,3,23,0,18,15,3,29,15
1260,0,2,6,3,23,0,18,15,3,23,19
1263,1,2,6,3,23,0,18,15,3,29,22
1264,1,2,6,3,23,0,18,15,3,26,23
1267,0,2,6,3,23,0,18,15,6,23,26
1273,1,2,7,6,18,1,18,15,12,30,0
1274,0,2,7,6,18,1,18,15,6,18,1
1275,1,2,7,6,18,1,18,15,6,18,2
1276,1,2,7,6,18,1,18,15,6,24,3
1277,1,2,7,6,18,1,18,15,18,30,4
1279,0,2,7,6,18,1,18,15,6,12,6
1281,0,2,7,6,18,1,18,15,6,18,8
1282,1,2,7,6,18,1,18,15,12,30,9
1283,1,2,7,6,18,1,18,15,6,24,10
1285,1,2,7,6,18,1,18,15,6,18,12
1287,1,2,7,6,18,1,18,15,12,30,14
1288,1,2,7,6,18,1,18,15,12,24,15
1290,0,2,7,6,18,1,18,15,6,24,17
1309,1,2,7,6,18,1,18,15,6,18,21
1311,1,2,7,6,18,1,18,15,12,24,23
1313,1,2,7,6,18,1,18,15,6,30,25
1314,1,2,7,6,18,1,18,15,12,30,26
1320,1,2,8,3,28,1,18,15,3,28,0
1321,1,2,8,3,28,1,18,15,3,31,1
1322,1,2,8,3,28,1,18,15,9,34,2
1324,0,2,8,3,28,1,18,15,3,28,4
1325,0,2,8,3,28,1,18,15,6,28,5
1326,0,2,8,3,28,1,18,15,3,25,6
1327,1,2,8,3,28,1,18,15,3,28,7
1329,1,2,8,3,28,1,18,15,3,28,9
1331,1,2,8,3,28,1,18,15,9,34,11
1332,1,2,8,3,28,1,18,15,6,34,12
1333,0,2,8,3,28,1,18,15,6,25,13
1337,0,2,8,3,28,1,18,15,6,25,17
1364,1,2,8,3,28,1,18,15,9,34,19
1366,1,2,8,3,28,1,18,15,9,34,21
1368,1,2,8,3,28,1,18,15,6,34,23
1370,1,2,8,3,28,1,18,15,3,34,25
1371,1,2,8,3,28,1,18,15,3,34,26
1377,0,2,9,6,18,0,9,5,18,12,0
1378,1,2,9,6,18,0,9,5,12,24,1
1379,0,2,9,6,18,0,9,5,6,24,2
1380,1,2,9,6,18,0,9,5,6,24,3
1382,1,2,9,6,18,0,9,5,6,24,5
1385,0,2,9,6,18,0,9,5,6,12,8
1402,1,2,9,6,18,0,9,5,12,24,10
1404,0,2,9,6,18,0,9,5,18,12,12
1406,0,2,9,6,18,0,9,5,6,24,14
1408,1,2,9,6,18,0,9,5,12,24,16
1409,1,2,9,6,18,0,9,5,6,30,17
1410,0,2,9,6,18,0,9,5,6,12,18
1412,0,2,9,6,18,0,9,5,6,24,20
1413,1,2,9,6,18,0,9,5,6,30,21
1415,1,2,9,6,18,0,9,5,6,18,23
1417,1,2,9,6,18,0,9,5,12,30,25
1418,1,2,9,6,18,0,9,5,12,24,26
1424,0,2,10,3,28,0,15,10,3,25,0
1425,1,2,10,3,28,0,15,10,6,31,1
1426,1,2,10,3,28,0,15,10,9,34,2
1427,1,2,10,3,28,0,15,10,3,31,3
1428,0,2,10,3,28,0,15,10,9,25,4
1431,0,2,10,3,28,0,15,10,3,25,7
1432,1,2,10,3,28,0,15,10,3,31,8
1434,0,2,10,3,28,0,15,10,3,25,10
1435,0,2,10,3,28,0,15,10,3,25,11
1436,1,2,10,3,28,0,15,10,6,31,12
1437,1,2,10,3,28,0,15,10,3,31,13
1460,0,2,10,3,28,0,15,10,3,31,16
1462,1,2,10,3,28,0,15,10,9,34,18
1464,0,2,10,3,28,0,15,10,9,25,20
1466,1,2,10,3,28,0,15,10,9,34,22
1467,1,2,10,3,28,0,15,10,6,31,23
1468,1,2,10,3,28,0,15,10,9,34,24
1470,1,2,10,3,28,0,15,10,3,28,26
1476,1,3,0,3,23,0,12,10,3,26,0
1477,1,3,0,3,23,0,12,10,6,26,1
1478,1,3,0,3,23,0,12,10,3,23,2
1479,0,3,0,3,23,0,12,10,3,26,3
1481,0,3,0,3,23,0,12,10,3,26,5
1482,0,3,0,3,23,0,12,10,3,26,6
1483,1,3,0,3,23,0,12,10,6,26,7
1485,0,3,0,3,23,0,12,10,6,23,9
1487,1,3,0,3,23,0,12,10,3,23,11
1510,1,3,0,3,23,0,12,10,9,29,14
1512,1,3,0,3,23,0,12,10,6,26,16
1513,1,3,0,3,23,0,12,10,3,26,17
1516,1,3,0,3,23,0,12,10,6,26,20
1517,1,3,0,3,23,0,12,10,3,23,21
1519,0,3,0,3,23,0,12,10,3,23,23
1521,1,3,0,3,23,0,12,10,6,26,25
